id,href,name,image,alias
11,/wiki/Ororo_Munroe_(Earth-616),Ororo Munroe,https://static.wikia.nocookie.net/marveldatabase/images/2/2b/Ororo_Munroe_%28Earth-616%29_from_X-Men_Red_Vol_2_1_001.jpg,Storm
12,/wiki/Susan_Storm_(Earth-616),Susan Storm,https://static.wikia.nocookie.net/marveldatabase/images/3/3b/Fantastic_Four_Vol_6_1_Invisible_Woman_ComicXposure_Exclusive_Virgin_Variant.jpg,Invisible Woman
13,/wiki/Stephen_Strange_(Earth-616),Stephen Strange,https://static.wikia.nocookie.net/marveldatabase/images/1/10/Marvel_Tales_Doctor_Strange_Vol_1_1_Virgin_Variant.jpg,Doctor Strange
14,/wiki/Namor_McKenzie_(Earth-616),Namor McKenzie,https://static.wikia.nocookie.net/marveldatabase/images/f/f1/Namor_Conquered_Shores_Vol_1_1_Clarke_Variant_Textless.jpg,
15,/wiki/Clinton_Barton_(Earth-616),Clinton Barton,https://static.wikia.nocookie.net/marveldatabase/images/6/6c/Thunderbolts_Vol_4_1_Trading_Card_Variant_Textless.jpg,Hawkeye
16,/wiki/Matthew_Murdock_(Earth-616),Matthew Murdock,https://static.wikia.nocookie.net/marveldatabase/images/a/aa/Daredevil_Vol_6_21_Textless.jpg,Daredevil
17,/wiki/Carol_Danvers_(Earth-616),Carol Danvers,https://static.wikia.nocookie.net/marveldatabase/images/4/4f/Carol_Danvers_%28Earth-616%29_from_Captain_Marvel_Vol_11_2_Stormbreakers_Variant_cover.jpg,Captain Marvel
18,/wiki/Robert_Drake_(Earth-616),Robert Drake,https://static.wikia.nocookie.net/marveldatabase/images/3/3a/X-Men_Vol_6_13_Trading_Card_Variant_Textless.jpg,Iceman
19,/wiki/Jean_Grey_(Earth-616),Jean Grey,https://static.wikia.nocookie.net/marveldatabase/images/4/4d/A.X.E._Judgment_Day_Vol_1_3_Women_of_A.X.E._Variant_Textless.jpg,Marvel Girl
20,/wiki/Charles_Xavier_(Earth-616),Charles Xavier,https://static.wikia.nocookie.net/marveldatabase/images/4/45/Powers_of_X_Vol_1_4_Textless.jpg,Professor X
21,/wiki/Warren_Worthington_III_(Earth-616),Warren Worthington III,https://static.wikia.nocookie.net/marveldatabase/images/c/c5/Warren_Worthington_III_%28Earth-616%29_from_X-Men_Blue_Vol_1_35_001.jpg,Archangel
22,/wiki/Piotr_Rasputin_(Earth-616),Piotr Rasputin,https://static.wikia.nocookie.net/marveldatabase/images/b/b1/X-Men_Vol_5_12_Unknown_Comic_Books_Exclusive_Ngu_Virgin_Variant.jpg,Colossus
23,/wiki/Natalia_Romanova_(Earth-616),Natalia Romanova,https://static.wikia.nocookie.net/marveldatabase/images/f/f3/Natalia_Romanova_%28Earth-616%29_from_Black_Widow_Vol_8_10_Brooks_Variant_001.jpg,Black Widow
24,/wiki/Kurt_Wagner_(Earth-616),Kurt Wagner,https://static.wikia.nocookie.net/marveldatabase/images/c/cb/Kurt_Wagner_%28Earth-616%29_from_Legion_of_X_Vol_1_1_Teaser_Variant_cover_001.jpg,Creepy Crawler
25,/wiki/Jennifer_Walters_(Earth-616),Jennifer Walters,https://static.wikia.nocookie.net/marveldatabase/images/8/82/She-Hulk_Vol_4_1_Hughes_Variant_Textless.jpg,She-Hulk
26,/wiki/T%27Challa_(Earth-616),T'Challa,https://static.wikia.nocookie.net/marveldatabase/images/6/63/Black_Panther_Vol_8_1_Devil_Dog_Comics_and_Jolzar_Collectibles_Exclusive_Virgin_Variant.jpg,Black Panther
27,/wiki/Vision_(Earth-616),Vision,https://static.wikia.nocookie.net/marveldatabase/images/0/02/All-New%2C_All-Different_Avengers_Vol_1_13_Textless.jpg,Vision
28,/wiki/Janet_Van_Dyne_(Earth-616),Janet Van Dyne,https://static.wikia.nocookie.net/marveldatabase/images/f/f7/Wasp_Vol_1_1_Nie_Variant_Textless.jpg,Wasp
29,/wiki/Henry_Pym_(Earth-616),Henry Pym,https://static.wikia.nocookie.net/marveldatabase/images/b/b1/Henry_Pym_%28Earth-616%29_from_Avengers_Inc._Vol_1_4_001.jpg,
30,/wiki/Mary_Jane_Watson_(Earth-616),Mary Jane Watson,https://static.wikia.nocookie.net/marveldatabase/images/a/a2/Amazing_Spider-Man_Vol_6_31_Skan_Second_Printing_Virgin_Variant.jpg,Jackpot
31,/wiki/Katherine_Pryde_(Earth-616),Katherine Pryde,https://static.wikia.nocookie.net/marveldatabase/images/d/d9/Fall_of_the_House_of_X_Vol_1_1_Lee_Virgin_Variant.jpg,Shadowkat
32,/wiki/Nicholas_Fury_(Earth-616),Nicholas Fury,https://static.wikia.nocookie.net/marveldatabase/images/9/90/Nicholas_Fury_%28Earth-616%29_from_Fantastic_Four_Vol_6_25_001.jpg,
33,/wiki/John_Jonah_Jameson_(Earth-616),John Jonah Jameson,https://static.wikia.nocookie.net/marveldatabase/images/9/96/John_Jonah_Jameson_%28Earth-616%29_from_Marvel_Knights_Spider-Man_Vol_1_4_001.jpg,
34,/wiki/Lucas_Cage_(Earth-616),Lucas Cage,https://static.wikia.nocookie.net/marveldatabase/images/7/71/Marvel%27s_Voices_Legacy_Vol_1_1_ComicTom101_Exclusive_Variant_Textless.jpg,
35,/wiki/Emma_Frost_(Earth-616),Emma Frost,https://static.wikia.nocookie.net/marveldatabase/images/7/74/Marvel_Comics_Vol_1_1000_Artgerm_Collectibles_Exclusive_Emma_Frost_Virgin_Variant.jpg,Hazel Kendal
36,/wiki/Rogue_(Anna_Marie)_(Earth-616),Rogue (Anna Marie),https://static.wikia.nocookie.net/marveldatabase/images/7/7e/X-Men_Vol_6_2_New_Line-Up_Trading_Card_Variant_Textless.jpg,Rogue
37,/wiki/Victor_von_Doom_(Earth-616),Victor von Doom,https://static.wikia.nocookie.net/marveldatabase/images/b/bb/Fantastic_Four_Vol_6_25_Artgerm_Virgin_Variant.jpg,Doctor Doom
38,/wiki/Wade_Wilson_(Earth-616),Wade Wilson,https://static.wikia.nocookie.net/marveldatabase/images/a/a1/Deadpool_Vol_10_1_Textless.jpg,Deadpool
39,/wiki/Francis_Castle_(Earth-616),Francis Castle,https://static.wikia.nocookie.net/marveldatabase/images/9/99/Francis_Castle_%28Earth-616%29_from_Punisher_Vol_13_12_001.jpg,
40,/wiki/Max_Eisenhardt_(Earth-616),Max Eisenhardt,https://static.wikia.nocookie.net/marveldatabase/images/e/eb/X-Men_Black_-_Magneto_Vol_1_1_Virgin_Variant.jpg,Magneto
41,/wiki/Samuel_Wilson_(Earth-616),Samuel Wilson,https://static.wikia.nocookie.net/marveldatabase/images/e/e1/Captain_America_Symbol_of_Truth_Vol_1_1_Clarke_Variant_Textless.jpg,Captain America
42,/wiki/Maybelle_Parker_(Earth-616),Maybelle Parker,https://static.wikia.nocookie.net/marveldatabase/images/e/e2/Maybelle_Parker_%28Earth-616%29_from_Howard_the_Duck_Vol_6_1_cover_001.jpg,
43,/wiki/Venom_(Symbiote)_(Earth-616),Venom (Symbiote),https://static.wikia.nocookie.net/marveldatabase/images/3/3f/Venom_Vol_4_35_Jock_Virgin_Variant.jpg,Venom
44,/wiki/Pietro_Maximoff_(Earth-616),Pietro Maximoff,https://static.wikia.nocookie.net/marveldatabase/images/e/ee/Pietro_Maximoff_%28Earth-616%29_from_Uncanny_Avengers_Vol_4_1_0001.png,Quicksilver
45,/wiki/James_Barnes_(Earth-616),James Barnes,https://static.wikia.nocookie.net/marveldatabase/images/d/d8/Winter_Soldier_Vol_2_1_Textless.jpg,Revolution
46,/wiki/Daniel_Rand_(Earth-616),Daniel Rand,https://static.wikia.nocookie.net/marveldatabase/images/1/14/Iron_Fist_Heart_of_the_Dragon_Vol_1_1_Textless.jpg,
47,/wiki/Norrin_Radd_(Earth-616),Norrin Radd,https://static.wikia.nocookie.net/marveldatabase/images/8/8c/Silver_Surfer_The_Best_Defense_Vol_1_1_Skan_Variant_Textless.jpg,Silver Surfer
48,/wiki/Elizabeth_Braddock_(Earth-616),Elizabeth Braddock,https://static.wikia.nocookie.net/marveldatabase/images/a/af/Excalibur_Vol_4_1_Anka_Variant_Textless.jpg,Captain Britain
49,/wiki/Hercules_Panhellenios_(Earth-616),Hercules Panhellenios,https://static.wikia.nocookie.net/marveldatabase/images/8/8e/Hercules_Panhellenios_%28Earth-616%29_from_Avengers_No_Road_Home_Vol_1_10_001.jpg,
50,/wiki/Remy_LeBeau_(Earth-616),Remy LeBeau,https://static.wikia.nocookie.net/marveldatabase/images/0/06/Remy_LeBeau_%28Earth-616%29_from_Knights_of_X_Vol_1_3_cover.jpg,Gambit
51,/wiki/Norman_Osborn_(Earth-616),Norman Osborn,https://static.wikia.nocookie.net/marveldatabase/images/2/28/Gold_Goblin_Vol_1_1_Virgin_Variant.jpg,Gold Goblin
52,/wiki/Nathan_Summers_(Earth-616),Nathan Summers,https://static.wikia.nocookie.net/marveldatabase/images/5/5d/Cable_Reloaded_Vol_1_1_Textless.jpg,Cable
53,/wiki/Samuel_Guthrie_(Earth-616),Samuel Guthrie,https://static.wikia.nocookie.net/marveldatabase/images/d/d4/Samuel_Guthrie_%28Earth-616%29_from_New_Mutants_Vol_4_2_001.jpg,Cannonball
54,/wiki/Simon_Williams_(Earth-616),Simon Williams,https://static.wikia.nocookie.net/marveldatabase/images/4/4e/Simon_Williams_%28Earth-616%29_from_Avengers_Vol_1_685_001.jpg,Wonder Man
55,/wiki/Jessica_Drew_(Earth-616),Jessica Drew,https://static.wikia.nocookie.net/marveldatabase/images/f/f5/Spider-Woman_Vol_7_1_Classic_Cover_Textless.jpg,Spider-Woman
56,/wiki/Patricia_Walker_(Earth-616),Patricia Walker,https://static.wikia.nocookie.net/marveldatabase/images/5/5a/Hellcat_Vol_2_1_Stegman_Variant_Textless.jpg,Hellcat
57,/wiki/Conan_(Earth-616),Conan,https://static.wikia.nocookie.net/marveldatabase/images/0/06/Conan_the_Barbarian_Vol_3_1_Granov_Variant_Textless.jpg,Conan of Cimmeria
58,/wiki/Wilson_Fisk_(Earth-616),Wilson Fisk,https://static.wikia.nocookie.net/marveldatabase/images/f/fe/Secret_Empire_Vol_1_9_Villain_Variant_Textless.jpg,White King
59,/wiki/Illyana_Rasputina_(Earth-616),Illyana Rasputina,https://static.wikia.nocookie.net/marveldatabase/images/0/08/X-Men_Vol_6_14_Trading_Card_Variant_Textless.jpg,Magik
60,/wiki/Eugene_Thompson_(Earth-616),Eugene Thompson,https://static.wikia.nocookie.net/marveldatabase/images/0/0c/Extreme_Carnage_Alpha_Vol_1_1_616_Comics_and_Jolzar_Collectibles_Exclusive_Variant_Textless.jpg,Agent Anti-Venom
61,/wiki/James_Rhodes_(Earth-616),James Rhodes,https://static.wikia.nocookie.net/marveldatabase/images/8/8f/James_Rhodes_%28Earth-616%29_from_Invincible_Iron_Man_Vol_5_3_002.jpg,War Machine
62,/wiki/Otto_Octavius_(Earth-616),Otto Octavius,https://static.wikia.nocookie.net/marveldatabase/images/7/74/Otto_Octavius_from_Amazing_Spider-Man_Vol_6_28.jpg,Doctor Octopus
63,/wiki/Alexander_Summers_(Earth-616),Alexander Summers,https://static.wikia.nocookie.net/marveldatabase/images/a/aa/X-Men_Vol_6_16_Trading_Card_Variant_Textless.jpg,Havok
64,/wiki/Richard_Jones_(Earth-616),Richard Jones,https://static.wikia.nocookie.net/marveldatabase/images/e/e8/Richard_Jones_%28Earth-616%29_from_Hulk_Vol_3_6_001.jpg,
65,/wiki/Joseph_Robertson_(Earth-616),Joseph Robertson,https://static.wikia.nocookie.net/marveldatabase/images/9/94/Joseph_Robertson_%28Earth-616%29_from_Amazing_Spider-Man_Vol_5_63_001.jpg,
66,/wiki/Franklin_Richards_(Earth-616),Franklin Richards,https://static.wikia.nocookie.net/marveldatabase/images/8/82/Franklin_Richards_%28Earth-616%29_from_X-Men_-_Fantastic_Four_Vol_2_4_cover_001.jpg,Powerhouse
67,/wiki/Edwin_Jarvis_(Earth-616),Edwin Jarvis,https://static.wikia.nocookie.net/marveldatabase/images/4/40/Edwin_Jarvis_%28Earth-616%29_from_All-New%2C_All-Different_Avengers_Vol_1_4_001.jpg,
68,/wiki/Jim_Hammond_(Earth-616),Jim Hammond,https://static.wikia.nocookie.net/marveldatabase/images/6/63/All-New_Invaders_Vol_1_4_Textless.jpg,Human Torch
69,/wiki/Miles_Morales_(Earth-1610),Miles Morales,,
70,/wiki/Timothy_Dugan_(Earth-616),Timothy Dugan,https://static.wikia.nocookie.net/marveldatabase/images/b/b3/Timothy_Dugan_%28Earth-616%29_from_S.H.I.E.L.D._Vol_3_9_001.jpg,Dum-Dum Dugan
71,/wiki/Odin_Borson_(Earth-616),Odin Borson,https://static.wikia.nocookie.net/marveldatabase/images/a/a6/Odin_Borson_%28Earth-616%29_from_Thor_Vol_6_13_001.jpg,
72,/wiki/Galan_(Earth-616),Galan,https://static.wikia.nocookie.net/marveldatabase/images/d/d1/Amazing_Spider-Man_Vol_5_12_Fantastic_Four_Villains_Variant_Textless.jpg,Galactus
73,/wiki/Roberto_Da_Costa_(Earth-616),Roberto Da Costa,https://static.wikia.nocookie.net/marveldatabase/images/2/2f/X-Men_Red_Vol_2_9_Arrako_Variant_Textless.jpg,Sunspot
74,/wiki/Medusalith_Amaquelin_(Earth-616),Medusalith Amaquelin,https://static.wikia.nocookie.net/marveldatabase/images/1/18/IVX_Vol_1_5_Inhumans_Variant_Textless.jpg,Commander Medusa
75,/wiki/Jubilation_Lee_(Earth-616),Jubilation Lee,https://static.wikia.nocookie.net/marveldatabase/images/9/90/Jubilation_Lee_%28Earth-616%29_from_Excalibur_Vol_4_1_cover.jpg,Jubilee
76,/wiki/Rachel_Summers_(Earth-811),Rachel Summers,https://static.wikia.nocookie.net/marveldatabase/images/8/8f/Rachel_Summers_%28Earth-811%29_from_Knights_of_X_Vol_1_4_Massafera_Variant_cover.jpg,Askani
77,/wiki/Raven_Darkh%C3%B6lme_(Earth-616),Raven Darkhölme,https://static.wikia.nocookie.net/marveldatabase/images/9/9d/X-Men_Vol_5_4_Maer_Virgin_Variant.jpg,Mystique
78,/wiki/Victor_Creed_(Earth-616),Victor Creed,https://static.wikia.nocookie.net/marveldatabase/images/8/85/Sabretooth_Vol_4_1_Textless.jpg,Sabretooth
79,/wiki/Jane_Foster_(Earth-616),Jane Foster,https://static.wikia.nocookie.net/marveldatabase/images/d/dc/Valkyrie_Jane_Foster_Vol_1_1_Textless.jpg,Valkyrie
80,/wiki/Brian_Braddock_(Earth-616),Brian Braddock,https://static.wikia.nocookie.net/marveldatabase/images/2/28/Brian_Braddock_%28Earth-616%29_from_Excalibur_Vol_4_13_002.jpg,Captain Avalon
81,/wiki/Crystalia_Amaquelin_(Earth-616),Crystalia Amaquelin,https://static.wikia.nocookie.net/marveldatabase/images/6/65/All-New_Inhumans_Vol_1_2_Textless.jpg,Crystal
82,/wiki/Marc_Spector_(Earth-616),Marc Spector,https://static.wikia.nocookie.net/marveldatabase/images/2/29/Moon_Knight_Vol_9_25_Artgerm_Virgin_Variant.jpg,Moon Knight
83,/wiki/Franklin_Nelson_(Earth-616),Franklin Nelson,https://static.wikia.nocookie.net/marveldatabase/images/e/e2/Franklin_Nelson_%28Earth-616%29_from_Daredevil_Vol_1_605_001.jpg,
84,/wiki/Thaddeus_Ross_(Earth-616),Thaddeus Ross,https://static.wikia.nocookie.net/marveldatabase/images/0/0c/Thaddeus_Ross_%28Earth-616%29_from_Captain_America_Vol_9_26_001.jpg,Red Hulk
85,/wiki/Lucas_Bishop_(Earth-1191),Lucas Bishop,https://static.wikia.nocookie.net/marveldatabase/images/8/8b/Lucas_Bishop_%28Earth-1191%29_from_Marauders_Vol_1_19_cover_001.jpg,Red Bishop
86,/wiki/Lorna_Dane_(Earth-616),Lorna Dane,https://static.wikia.nocookie.net/marveldatabase/images/e/e2/X-Men_Vol_6_6_Trading_Card_Variant_Textless.jpg,Polaris
87,/wiki/Loki_Laufeyson_(Earth-616),Loki Laufeyson,https://static.wikia.nocookie.net/marveldatabase/images/a/a2/Loki_Laufeyson_%28Earth-616%29_from_Thor_Vol_3_12_0001.jpg,
88,/wiki/Thanos_(Earth-616),Thanos,https://static.wikia.nocookie.net/marveldatabase/images/1/1f/Eternals_Thanos_Rises_Vol_1_1_Textless.jpg,
89,/wiki/Dane_Whitman_(Earth-616),Dane Whitman,https://static.wikia.nocookie.net/marveldatabase/images/8/86/Empyre_Avengers_Vol_1_3_Textless.jpg,Black Knight
90,/wiki/Monica_Rambeau_(Earth-616),Monica Rambeau,https://static.wikia.nocookie.net/marveldatabase/images/3/35/Monica_Rambeau_Photon_Vol_1_1_Textless.jpg,Photon
91,/wiki/Laura_Kinney_(Earth-616),Laura Kinney,https://static.wikia.nocookie.net/marveldatabase/images/3/36/X-Men_Vol_6_24_Trading_Card_Variant_Textless.jpg,Talon
92,/wiki/Rahne_Sinclair_(Earth-616),Rahne Sinclair,https://static.wikia.nocookie.net/marveldatabase/images/5/51/Rahne_Sinclair_%28Earth-616%29_from_New_Mutants_Vol_4_1_cover.jpg,Wolfsbane
93,/wiki/Edward_Brock_(Earth-616),Edward Brock,https://static.wikia.nocookie.net/marveldatabase/images/9/92/Edward_Brock_%28Earth-616%29_from_Venom_Vol_5_18_002.jpg,King in Black
94,/wiki/Felicia_Hardy_(Earth-616),Felicia Hardy,https://static.wikia.nocookie.net/marveldatabase/images/0/04/Black_Cat_Vol_1_3_Bring_on_the_Bad_Guys_Unknown_Comic_Books_Exclusive_Virgin_Variant.jpg,Black Cat
95,/wiki/Barbara_Morse_(Earth-616),Barbara Morse,https://static.wikia.nocookie.net/marveldatabase/images/7/77/Mockingbird_Vol_1_3_Torque_Variant_Textless.jpg,Mockingbird
96,/wiki/Maria_Hill_(Earth-616),Maria Hill,https://static.wikia.nocookie.net/marveldatabase/images/4/4b/Maria_Hill_%28Earth-616%29_from_Avengers_World_Vol_1_14_001.png,
97,/wiki/Neena_Thurman_(Earth-616),Neena Thurman,https://static.wikia.nocookie.net/marveldatabase/images/8/8b/X-Force_Vol_6_1_Ngu_Virgin_Variant.jpg,Domino
98,/wiki/Elizabeth_Ross_(Earth-616),Elizabeth Ross,https://static.wikia.nocookie.net/marveldatabase/images/2/21/Immortal_Hulk_Vol_1_20_Textless.jpg,Red Harpy
99,/wiki/Danielle_Moonstar_(Earth-616),Danielle Moonstar,https://static.wikia.nocookie.net/marveldatabase/images/8/81/Danielle_Moonstar_%28Earth-616%29_from_Marvel%27s_Voices_Indigenous_Voices_Vol_1_1_Richardson_Variant_cover.jpg,Mirage
100,/wiki/Sif_(Earth-616),Sif,https://static.wikia.nocookie.net/marveldatabase/images/a/a2/Journey_Into_Mystery_Vol_1_650_Acuna_Variant_Textless.jpg,Sif the All-Seeing
101,/wiki/Kamala_Khan_(Earth-616),Kamala Khan,https://static.wikia.nocookie.net/marveldatabase/images/6/69/Ms._Marvel_The_New_Mutant_Vol_1_1_Homage_Variant_B_Textless.jpg,Ms. Marvel
102,/wiki/Uatu_(Earth-616),Uatu,https://static.wikia.nocookie.net/marveldatabase/images/8/8e/Uatu_%28Earth-616%29_from_Fantastic_Four_Vol_6_25_001.jpg,The Watcher
103,/wiki/Johnathon_Blaze_(Earth-616),Johnathon Blaze,https://static.wikia.nocookie.net/marveldatabase/images/2/2b/Ghost_Rider_Vol_10_1_Virgin_Variant.jpg,Ghost Rider
104,/wiki/Blackagar_Boltagon_(Earth-616),Blackagar Boltagon,https://static.wikia.nocookie.net/marveldatabase/images/f/f1/IVX_Vol_1_1_Inhumans_Variant_Textless.jpg,Black Bolt
105,/wiki/Richard_Rider_(Earth-616),Richard Rider,https://static.wikia.nocookie.net/marveldatabase/images/c/c8/Richard_Rider_%28Earth-616%29_from_Guardians_of_the_Galaxy_Vol_6_13_cover_001.jpg,Nova
106,/wiki/Elizabeth_Brant_(Earth-616),Elizabeth Brant,https://static.wikia.nocookie.net/marveldatabase/images/7/74/Elizabeth_Brant_%28Earth-616%29_from_Friendly_Neighborhood_Spider-Man_Vol_1_15_001.jpg,
107,/wiki/Mephisto_(Earth-616),Mephisto,https://static.wikia.nocookie.net/marveldatabase/images/c/cf/Mephisto_%28Earth-616%29_from_Loki_Agent_of_Asgard_Vol_1_4_001.jpg,
108,/wiki/Volstagg_(Earth-616),Volstagg,https://static.wikia.nocookie.net/marveldatabase/images/8/81/Volstagg_%28Earth-616%29_from_Thor_Vol_1_607_001.jpg,
109,/wiki/Rocket_Raccoon_(Earth-616),Rocket Raccoon,https://static.wikia.nocookie.net/marveldatabase/images/c/c5/Rocket_Raccoon_%28Earth-616%29_from_Guardians_of_the_Galaxy_Vol_7_4_001.jpg,Star-Sheriff
110,/wiki/Arthur_Douglas_(Earth-616),Arthur Douglas,https://static.wikia.nocookie.net/marveldatabase/images/c/c0/Infinity_Countdown_Vol_1_3_Drax_Holds_Infinity_Unknown_Comics_Exclusive_Virgin_Variant.jpg,Drax the Destroyer
111,/wiki/Gamora_Zen_Whoberi_Ben_Titan_(Earth-7528),Gamora Zen Whoberi Ben Titan,https://static.wikia.nocookie.net/marveldatabase/images/8/86/Guardians_of_the_Galaxy_Vol_7_1_Chew_Virgin_Variant.jpg,
112,/wiki/Alison_Blaire_(Earth-616),Alison Blaire,https://static.wikia.nocookie.net/marveldatabase/images/2/22/Alison_Blaire_%28Earth-616%29_from_Astonishing_X-Men_Vol_4_14_001.jpg,Dazzler
113,/wiki/Wong_(Earth-616),Wong,https://static.wikia.nocookie.net/marveldatabase/images/b/b8/Strange_Academy_Vol_1_15_Character_Spotlight_Variant_Textless.jpg,
114,/wiki/Sharon_Carter_(Earth-616),Sharon Carter,https://static.wikia.nocookie.net/marveldatabase/images/6/6c/Sharon_Carter_%28Earth-616%29_from_Captain_America_Sentinel_of_Liberty_Vol_2_11_001.jpg,Destroyer
115,/wiki/Brunnhilde_(Earth-616),Brunnhilde,https://static.wikia.nocookie.net/marveldatabase/images/b/bc/Brunnhilde_%28Earth-616%29_from_Asgardians_of_the_Galaxy_Vol_1_8_cover_001.jpg,Valkyrie
116,/wiki/Johann_Shmidt_(Earth-616),Johann Shmidt,https://static.wikia.nocookie.net/marveldatabase/images/3/30/Captain_America_Vol_9_13_Bring_on_the_Bad_Guys_Variant_Textless.jpg,Red Skull
117,/wiki/Sean_Cassidy_(Earth-616),Sean Cassidy,https://static.wikia.nocookie.net/marveldatabase/images/a/ac/Uncanny_X-Men_Vol_5_15_Character_Variant_Textless.jpg,Banshee
118,/wiki/Fandral_(Earth-616),Fandral,https://static.wikia.nocookie.net/marveldatabase/images/7/74/Fandral_%28Earth-616%29_from_Thor_Vol_3_4_0001.jpg,Fandral the Dashing
119,/wiki/Elektra_Natchios_(Earth-616),Elektra Natchios,https://static.wikia.nocookie.net/marveldatabase/images/1/1a/Daredevil_Vol_6_29_Textless.jpg,Daredevil
120,/wiki/Hogun_(Earth-616),Hogun,https://static.wikia.nocookie.net/marveldatabase/images/4/45/Hogun_%28Earth-616%29_from_Thor_Vol_3_4_0001.png,Hogun the Grim
121,/wiki/Mercedes_Knight_(Earth-616),Mercedes Knight,https://static.wikia.nocookie.net/marveldatabase/images/0/0a/Captain_America_Sam_Wilson_Vol_1_16_Textless.jpg,
122,/wiki/James_Proudstar_(Earth-616),James Proudstar,https://static.wikia.nocookie.net/marveldatabase/images/4/41/James_Proudstar_%28Earth-616%29_from_New_Mutants_Vol_4_14_002.jpg,Warpath
123,/wiki/Balder_Odinson_(Earth-616),Balder Odinson,https://static.wikia.nocookie.net/marveldatabase/images/a/aa/Balder_Odinson_%28Earth-616%29_from_Thor_Vol_3_9_001.jpg,
124,/wiki/Cain_Marko_(Earth-616),Cain Marko,https://static.wikia.nocookie.net/marveldatabase/images/6/65/Juggernaut_Vol_3_3_Textless.jpg,Juggernaut
125,/wiki/Zheng_Shang-Chi_(Earth-616),Zheng Shang-Chi,https://static.wikia.nocookie.net/marveldatabase/images/5/50/Shang-Chi_and_the_Ten_Rings_Vol_1_1_Textless.jpg,
126,/wiki/Greer_Nelson_(Earth-616),Greer Nelson,https://static.wikia.nocookie.net/marveldatabase/images/3/31/Greer_Nelson_%28Earth-616%29_from_Moon_Knight_Vol_9_22_cover.jpg,Tigra
127,/wiki/Forge_(Earth-616),Forge,https://static.wikia.nocookie.net/marveldatabase/images/0/0e/X-Men_Vol_6_15_Trading_Card_Variant_Textless.jpg,Forge
128,/wiki/Angelica_Jones_(Earth-616),Angelica Jones,https://static.wikia.nocookie.net/marveldatabase/images/4/4d/X-Men_Vol_6_17_Trading_Card_Variant_Textless.jpg,Firestar
129,/wiki/MacDonald_Gargan_(Earth-616),MacDonald Gargan,https://static.wikia.nocookie.net/marveldatabase/images/a/a1/MacDonald_Gargan_%28Earth-616%29_from_Carnage_Reigns_Alpha_Vol_1_1_001.jpg,Scorpion
130,/wiki/Jonathan_Walker_(Earth-616),Jonathan Walker,https://static.wikia.nocookie.net/marveldatabase/images/1/14/Jonathan_Walker_%28Earth-616%29_from_Devil%27s_Reign_Villains_for_Hire_Vol_1_2_cover_001.jpg,U.S. Agent
131,/wiki/Thomas_Raymond_(Earth-616),Thomas Raymond,https://static.wikia.nocookie.net/marveldatabase/images/5/54/Thomas_Raymond_%28Earth-616%29_from_All-New_Invaders_Vol_1_14_001.jpg,Toro
132,/wiki/Jean-Paul_Beaubier_(Earth-616),Jean-Paul Beaubier,https://static.wikia.nocookie.net/marveldatabase/images/3/30/Jean-Paul_Beaubier_%28Earth-616%29_from_X-Men_The_Trial_of_Magneto_Vol_1_2_001.jpg,Northstar
