id,parent,child
00129,Concussive Blasts,/wiki/Scott_Summers_(Earth-616)
00130,Optic Blasts,/wiki/Scott_Summers_(Earth-616)
00131,Phoenix Force,/wiki/Scott_Summers_(Earth-616)
00132,Symbiotes-possessed,/wiki/Scott_Summers_(Earth-616)
00133,Fantastic Four (Earth-616)/Members,/wiki/Reed_Richards_(Earth-616)
00134,Illuminati (Earth-616)/Members,/wiki/Reed_Richards_(Earth-616)
00135,Avengers (Earth-616)/Members,/wiki/Reed_Richards_(Earth-616)
00136,Defenders (Earth-616)/Members,/wiki/Reed_Richards_(Earth-616)
00137,Mutates,/wiki/Reed_Richards_(Earth-616)
00138,Stan Lee/Creator,/wiki/Reed_Richards_(Earth-616)
00139,Jack Kirby/Creator,/wiki/Reed_Richards_(Earth-616)
00140,Formerly Deceased,/wiki/Reed_Richards_(Earth-616)
00141,Americans,/wiki/Reed_Richards_(Earth-616)
00142,Shapeshifters,/wiki/Reed_Richards_(Earth-616)
00143,Symbiotes-possessed,/wiki/Reed_Richards_(Earth-616)
00144,Armor Users,/wiki/Reed_Richards_(Earth-616)
00145,Power Cosmic,/wiki/Reed_Richards_(Earth-616)
00146,Fantastic Four (Earth-616)/Members,/wiki/Jonathan_Storm_(Earth-616)
00147,Heralds of Galactus (Earth-616)/Members,/wiki/Jonathan_Storm_(Earth-616)
00148,Secret Avengers (Civil War) (Earth-616)/Members,/wiki/Jonathan_Storm_(Earth-616)
00149,Mutates,/wiki/Jonathan_Storm_(Earth-616)
00150,Stan Lee/Creator,/wiki/Jonathan_Storm_(Earth-616)
00151,Jack Kirby/Creator,/wiki/Jonathan_Storm_(Earth-616)
00152,Flaming Body,/wiki/Jonathan_Storm_(Earth-616)
00153,Formerly Deceased,/wiki/Jonathan_Storm_(Earth-616)
00154,Americans,/wiki/Jonathan_Storm_(Earth-616)
00155,Plasma Generation,/wiki/Jonathan_Storm_(Earth-616)
00156,Flight,/wiki/Jonathan_Storm_(Earth-616)
00157,Power Cosmic,/wiki/Jonathan_Storm_(Earth-616)
00158,Empire State University Student,/wiki/Jonathan_Storm_(Earth-616)
00159,Energy Absorption,/wiki/Jonathan_Storm_(Earth-616)
00160,X-Force (Strike Team) (Earth-616)/Members,/wiki/Henry_McCoy_(Earth-616)
00161,X-Men (Earth-616)/Members,/wiki/Henry_McCoy_(Earth-616)
00162,Illuminati (Earth-616)/Members,/wiki/Henry_McCoy_(Earth-616)
00163,Secret Avengers (Black Ops Unit) (Earth-616)/Members,/wiki/Henry_McCoy_(Earth-616)
00164,Defenders (Earth-616)/Members,/wiki/Henry_McCoy_(Earth-616)
00165,Avengers (Earth-616)/Members,/wiki/Henry_McCoy_(Earth-616)
00166,Brotherhood of Evil Mutants (Earth-616)/Members,/wiki/Henry_McCoy_(Earth-616)
00167,Mutates,/wiki/Henry_McCoy_(Earth-616)
00168,Mutants (Homo superior),/wiki/Henry_McCoy_(Earth-616)
00169,Stan Lee/Creator,/wiki/Henry_McCoy_(Earth-616)
00170,Jack Kirby/Creator,/wiki/Henry_McCoy_(Earth-616)
00171,Formerly Deceased,/wiki/Henry_McCoy_(Earth-616)
00172,Americans,/wiki/Henry_McCoy_(Earth-616)
00173,Pheromones,/wiki/Henry_McCoy_(Earth-616)
00174,Flight,/wiki/Henry_McCoy_(Earth-616)
00175,Cosmic Awareness,/wiki/Henry_McCoy_(Earth-616)
00176,Superhuman Smelling,/wiki/Henry_McCoy_(Earth-616)
00177,Night Vision,/wiki/Henry_McCoy_(Earth-616)
00178,Symbiotes-possessed,/wiki/Henry_McCoy_(Earth-616)
00179,Thor Corps (Earth-616)/Members,/wiki/Ororo_Munroe_(Earth-616)
00180,Marauders (Pryde) (Earth-616)/Members,/wiki/Ororo_Munroe_(Earth-616)
00181,X-Men (Earth-616)/Members,/wiki/Ororo_Munroe_(Earth-616)
00182,X-Force (Strike Team) (Earth-616)/Members,/wiki/Ororo_Munroe_(Earth-616)
00183,Avengers (Earth-616)/Members,/wiki/Ororo_Munroe_(Earth-616)
00184,Fantastic Four (Earth-616)/Members,/wiki/Ororo_Munroe_(Earth-616)
00185,Secret Avengers (Civil War) (Earth-616)/Members,/wiki/Ororo_Munroe_(Earth-616)
00186,Mutants (Homo superior),/wiki/Ororo_Munroe_(Earth-616)
00187,Formerly Deceased,/wiki/Ororo_Munroe_(Earth-616)
00188,Americans,/wiki/Ororo_Munroe_(Earth-616)
00189,Atmokinesis,/wiki/Ororo_Munroe_(Earth-616)
00190,Cosmic Awareness,/wiki/Ororo_Munroe_(Earth-616)
00191,Flight,/wiki/Ororo_Munroe_(Earth-616)
00192,Phoenix Force,/wiki/Ororo_Munroe_(Earth-616)
00193,Plasma Generation,/wiki/Ororo_Munroe_(Earth-616)
00194,Telepathic Immunity,/wiki/Ororo_Munroe_(Earth-616)
00195,Shapeshifters,/wiki/Ororo_Munroe_(Earth-616)
00196,Symbiotes-possessed,/wiki/Ororo_Munroe_(Earth-616)
00197,Fantastic Four (Earth-616)/Members,/wiki/Susan_Storm_(Earth-616)
00198,Avengers (Earth-616)/Members,/wiki/Susan_Storm_(Earth-616)
00199,Secret Avengers (Civil War) (Earth-616)/Members,/wiki/Susan_Storm_(Earth-616)
00200,Mutates,/wiki/Susan_Storm_(Earth-616)
00201,Stan Lee/Creator,/wiki/Susan_Storm_(Earth-616)
00202,Jack Kirby/Creator,/wiki/Susan_Storm_(Earth-616)
00203,Americans,/wiki/Susan_Storm_(Earth-616)
00204,Captain Universe,/wiki/Susan_Storm_(Earth-616)
00205,Force Field,/wiki/Susan_Storm_(Earth-616)
00206,Invisibility,/wiki/Susan_Storm_(Earth-616)
00207,Symbiotes-possessed,/wiki/Susan_Storm_(Earth-616)
00208,Formerly Deceased,/wiki/Susan_Storm_(Earth-616)
00209,Power Cosmic,/wiki/Susan_Storm_(Earth-616)
00210,Energy Absorption,/wiki/Susan_Storm_(Earth-616)
00211,Intangibility,/wiki/Susan_Storm_(Earth-616)
00212,Avengers (Earth-616)/Members,/wiki/Stephen_Strange_(Earth-616)
00213,Defenders (Earth-616)/Members,/wiki/Stephen_Strange_(Earth-616)
00214,Illuminati (Earth-616)/Members,/wiki/Stephen_Strange_(Earth-616)
00215,Midnight Sons (Earth-616)/Members,/wiki/Stephen_Strange_(Earth-616)
00216,Secret Defenders (Earth-616)/Members,/wiki/Stephen_Strange_(Earth-616)
00217,Magicians,/wiki/Stephen_Strange_(Earth-616)
00218,Stan Lee/Creator,/wiki/Stephen_Strange_(Earth-616)
00219,Steve Ditko/Creator,/wiki/Stephen_Strange_(Earth-616)
00220,Formerly Deceased,/wiki/Stephen_Strange_(Earth-616)
00221,Americans,/wiki/Stephen_Strange_(Earth-616)
00222,Flight,/wiki/Stephen_Strange_(Earth-616)
00223,Telekinesis,/wiki/Stephen_Strange_(Earth-616)
00224,Astral Projection,/wiki/Stephen_Strange_(Earth-616)
00225,Energy Absorption,/wiki/Stephen_Strange_(Earth-616)
00226,Shapeshifters,/wiki/Stephen_Strange_(Earth-616)
00227,Hypnosis,/wiki/Stephen_Strange_(Earth-616)
00228,Invisibility,/wiki/Stephen_Strange_(Earth-616)
00229,Captain Universe,/wiki/Stephen_Strange_(Earth-616)
00230,Chi Manipulation,/wiki/Stephen_Strange_(Earth-616)
00231,Symbiotes-possessed,/wiki/Stephen_Strange_(Earth-616)
00232,Avengers (Earth-616)/Members,/wiki/Namor_McKenzie_(Earth-616)
00233,Invaders (Earth-616)/Members,/wiki/Namor_McKenzie_(Earth-616)
00234,Illuminati (Earth-616)/Members,/wiki/Namor_McKenzie_(Earth-616)
00235,X-Men (Earth-616)/Members,/wiki/Namor_McKenzie_(Earth-616)
00236,Defenders (Earth-616)/Members,/wiki/Namor_McKenzie_(Earth-616)
00237,Mutants (Homo superior),/wiki/Namor_McKenzie_(Earth-616)
00238,Formerly Deceased,/wiki/Namor_McKenzie_(Earth-616)
00239,Energy Absorption,/wiki/Namor_McKenzie_(Earth-616)
00240,Zoopathy,/wiki/Namor_McKenzie_(Earth-616)
00241,Flight,/wiki/Namor_McKenzie_(Earth-616)
00242,Phoenix Force,/wiki/Namor_McKenzie_(Earth-616)
00243,Ebony Blade User,/wiki/Namor_McKenzie_(Earth-616)
00244,Atmokinesis,/wiki/Namor_McKenzie_(Earth-616)
00245,Thunderbolts (Earth-616)/Members,/wiki/Clinton_Barton_(Earth-616)
00246,Avengers (Earth-616)/Members,/wiki/Clinton_Barton_(Earth-616)
00247,Avengers West Coast (Earth-616)/Members,/wiki/Clinton_Barton_(Earth-616)
00248,Avengers Academy (Earth-616)/Members,/wiki/Clinton_Barton_(Earth-616)
00249,Secret Avengers (S.H.I.E.L.D.) (Earth-616)/Members,/wiki/Clinton_Barton_(Earth-616)
00250,Secret Avengers (Black Ops Unit) (Earth-616)/Members,/wiki/Clinton_Barton_(Earth-616)
00251,Great Lakes Avengers (Earth-616)/Members,/wiki/Clinton_Barton_(Earth-616)
00252,Defenders (Earth-616)/Members,/wiki/Clinton_Barton_(Earth-616)
00253,Stan Lee/Creator,/wiki/Clinton_Barton_(Earth-616)
00254,Formerly Deceased,/wiki/Clinton_Barton_(Earth-616)
00255,Americans,/wiki/Clinton_Barton_(Earth-616)
00256,Symbiotes-possessed,/wiki/Clinton_Barton_(Earth-616)
00257,Defenders (Earth-616)/Members,/wiki/Matthew_Murdock_(Earth-616)
00258,Mutates,/wiki/Matthew_Murdock_(Earth-616)
00259,Stan Lee/Creator,/wiki/Matthew_Murdock_(Earth-616)
00260,Formerly Deceased,/wiki/Matthew_Murdock_(Earth-616)
00261,Americans,/wiki/Matthew_Murdock_(Earth-616)
00262,Captain Universe,/wiki/Matthew_Murdock_(Earth-616)
00263,Superhuman Smelling,/wiki/Matthew_Murdock_(Earth-616)
00264,Chi Manipulation,/wiki/Matthew_Murdock_(Earth-616)
00265,Telepathic Immunity,/wiki/Matthew_Murdock_(Earth-616)
00266,Trackers,/wiki/Matthew_Murdock_(Earth-616)
00267,Twins,/wiki/Matthew_Murdock_(Earth-616)
00268,Avengers (Earth-616)/Members,/wiki/Carol_Danvers_(Earth-616)
00269,Ultimates (Earth-616)/Members,/wiki/Carol_Danvers_(Earth-616)
00270,Guardians of the Galaxy (Earth-616)/Members,/wiki/Carol_Danvers_(Earth-616)
00271,Mutates,/wiki/Carol_Danvers_(Earth-616)
00272,Kree,/wiki/Carol_Danvers_(Earth-616)
00273,Formerly Deceased,/wiki/Carol_Danvers_(Earth-616)
00274,Americans,/wiki/Carol_Danvers_(Earth-616)
00275,Flight,/wiki/Carol_Danvers_(Earth-616)
00276,Energy Absorption,/wiki/Carol_Danvers_(Earth-616)
00277,Symbiotes-possessed,/wiki/Carol_Danvers_(Earth-616)
00278,Optic Blasts,/wiki/Carol_Danvers_(Earth-616)
00279,X-Men (Earth-616)/Members,/wiki/Robert_Drake_(Earth-616)
00280,Marauders (Pryde) (Earth-616)/Members,/wiki/Robert_Drake_(Earth-616)
00281,Secret Defenders (Earth-616)/Members,/wiki/Robert_Drake_(Earth-616)
00282,Fantastic Four (Earth-616)/Members,/wiki/Robert_Drake_(Earth-616)
00283,Defenders (Earth-616)/Members,/wiki/Robert_Drake_(Earth-616)
00284,Mutants (Homo superior),/wiki/Robert_Drake_(Earth-616)
00285,Stan Lee/Creator,/wiki/Robert_Drake_(Earth-616)
00286,Jack Kirby/Creator,/wiki/Robert_Drake_(Earth-616)
00287,Formerly Deceased,/wiki/Robert_Drake_(Earth-616)
00288,Americans,/wiki/Robert_Drake_(Earth-616)
00289,Homosexual Characters,/wiki/Robert_Drake_(Earth-616)
00290,Symbiotes-possessed,/wiki/Robert_Drake_(Earth-616)
00291,X-Men (Earth-616)/Members,/wiki/Jean_Grey_(Earth-616)
00292,X-Force (Strike Team) (Earth-616)/Members,/wiki/Jean_Grey_(Earth-616)
00293,Mutants (Homo superior),/wiki/Jean_Grey_(Earth-616)
00294,Stan Lee/Creator,/wiki/Jean_Grey_(Earth-616)
00295,Jack Kirby/Creator,/wiki/Jean_Grey_(Earth-616)
00296,Americans,/wiki/Jean_Grey_(Earth-616)
00297,Telepathic Immunity,/wiki/Jean_Grey_(Earth-616)
00298,Mind Control,/wiki/Jean_Grey_(Earth-616)
00299,Possession,/wiki/Jean_Grey_(Earth-616)
00300,Astral Projection,/wiki/Jean_Grey_(Earth-616)
00301,Telekinesis,/wiki/Jean_Grey_(Earth-616)
00302,Force Field,/wiki/Jean_Grey_(Earth-616)
00303,Flight,/wiki/Jean_Grey_(Earth-616)
00304,Phoenix Force,/wiki/Jean_Grey_(Earth-616)
00305,Symbiotes-possessed,/wiki/Jean_Grey_(Earth-616)
00306,X-Men (Earth-616)/Members,/wiki/Charles_Xavier_(Earth-616)
00307,Illuminati (Earth-616)/Members,/wiki/Charles_Xavier_(Earth-616)
00308,Brotherhood of Evil Mutants (Earth-616)/Members,/wiki/Charles_Xavier_(Earth-616)
00309,New Mutants (Earth-616)/Members,/wiki/Charles_Xavier_(Earth-616)
00310,Mutants (Homo superior),/wiki/Charles_Xavier_(Earth-616)
00311,Stan Lee/Creator,/wiki/Charles_Xavier_(Earth-616)
00312,Jack Kirby/Creator,/wiki/Charles_Xavier_(Earth-616)
00313,Formerly Deceased,/wiki/Charles_Xavier_(Earth-616)
00314,Americans,/wiki/Charles_Xavier_(Earth-616)
00315,Astral Projection,/wiki/Charles_Xavier_(Earth-616)
00316,Phoenix Force,/wiki/Charles_Xavier_(Earth-616)
00317,Twins,/wiki/Charles_Xavier_(Earth-616)
00318,Possession,/wiki/Charles_Xavier_(Earth-616)
00319,Mind Control,/wiki/Charles_Xavier_(Earth-616)
00320,Telekinesis,/wiki/Charles_Xavier_(Earth-616)
00321,X-Men (Earth-616)/Members,/wiki/Warren_Worthington_III_(Earth-616)
00322,X-Force (Strike Team) (Earth-616)/Members,/wiki/Warren_Worthington_III_(Earth-616)
00323,Secret Defenders (Earth-616)/Members,/wiki/Warren_Worthington_III_(Earth-616)
00324,Defenders (Earth-616)/Members,/wiki/Warren_Worthington_III_(Earth-616)
00325,Mutants (Homo superior),/wiki/Warren_Worthington_III_(Earth-616)
00326,Stan Lee/Creator,/wiki/Warren_Worthington_III_(Earth-616)
00327,Jack Kirby/Creator,/wiki/Warren_Worthington_III_(Earth-616)
00328,Americans,/wiki/Warren_Worthington_III_(Earth-616)
00329,Flight,/wiki/Warren_Worthington_III_(Earth-616)
00330,Shapeshifters,/wiki/Warren_Worthington_III_(Earth-616)
00331,Symbiotes-possessed,/wiki/Warren_Worthington_III_(Earth-616)
00332,X-Men (Earth-616)/Members,/wiki/Piotr_Rasputin_(Earth-616)
00333,X-Force (Strike Team) (Earth-616)/Members,/wiki/Piotr_Rasputin_(Earth-616)
00334,Excalibur (Earth-616)/Members,/wiki/Piotr_Rasputin_(Earth-616)
00335,Mutants (Homo superior),/wiki/Piotr_Rasputin_(Earth-616)
00336,Formerly Deceased,/wiki/Piotr_Rasputin_(Earth-616)
00337,Invulnerability,/wiki/Piotr_Rasputin_(Earth-616)
00338,Telepathic Immunity,/wiki/Piotr_Rasputin_(Earth-616)
00339,Phoenix Force,/wiki/Piotr_Rasputin_(Earth-616)
00340,Symbiotes-possessed,/wiki/Piotr_Rasputin_(Earth-616)
00341,Force Field,/wiki/Piotr_Rasputin_(Earth-616)
00342,Telekinesis,/wiki/Piotr_Rasputin_(Earth-616)
00343,Size Alteration,/wiki/Piotr_Rasputin_(Earth-616)
00344,Thunderbolts (Revolution) (Earth-616)/Members,/wiki/Natalia_Romanova_(Earth-616)
00345,Avengers (Earth-616)/Members,/wiki/Natalia_Romanova_(Earth-616)
00346,Thunderbolts (Earth-616)/Members,/wiki/Natalia_Romanova_(Earth-616)
00347,Secret Avengers (Black Ops Unit) (Earth-616)/Members,/wiki/Natalia_Romanova_(Earth-616)
00348,Secret Avengers (S.H.I.E.L.D.) (Earth-616)/Members,/wiki/Natalia_Romanova_(Earth-616)
00349,Super-Soldiers,/wiki/Natalia_Romanova_(Earth-616)
00350,Mutates,/wiki/Natalia_Romanova_(Earth-616)
00351,Stan Lee/Creator,/wiki/Natalia_Romanova_(Earth-616)
00352,Formerly Deceased,/wiki/Natalia_Romanova_(Earth-616)
00353,Mercenaries,/wiki/Natalia_Romanova_(Earth-616)
00354,Symbiotes-possessed,/wiki/Natalia_Romanova_(Earth-616)
00355,X-Men (Earth-616)/Members,/wiki/Kurt_Wagner_(Earth-616)
00356,Excalibur (Earth-616)/Members,/wiki/Kurt_Wagner_(Earth-616)
00357,Mutants (Homo superior),/wiki/Kurt_Wagner_(Earth-616)
00358,Formerly Deceased,/wiki/Kurt_Wagner_(Earth-616)
00359,Americans,/wiki/Kurt_Wagner_(Earth-616)
00360,Wallcrawling,/wiki/Kurt_Wagner_(Earth-616)
00361,Night Vision,/wiki/Kurt_Wagner_(Earth-616)
00362,Symbiotes-possessed,/wiki/Kurt_Wagner_(Earth-616)
00363,Avengers (Earth-616)/Members,/wiki/Jennifer_Walters_(Earth-616)
00364,Fantastic Four (Earth-616)/Members,/wiki/Jennifer_Walters_(Earth-616)
00365,Defenders (Earth-616)/Members,/wiki/Jennifer_Walters_(Earth-616)
00366,Gamma Ray Exposure,/wiki/Jennifer_Walters_(Earth-616)
00367,Mutates,/wiki/Jennifer_Walters_(Earth-616)
00368,Stan Lee/Creator,/wiki/Jennifer_Walters_(Earth-616)
00369,Formerly Deceased,/wiki/Jennifer_Walters_(Earth-616)
00370,Americans,/wiki/Jennifer_Walters_(Earth-616)
00371,Leaping,/wiki/Jennifer_Walters_(Earth-616)
00372,Bulletproof,/wiki/Jennifer_Walters_(Earth-616)
00373,Medium Awareness,/wiki/Jennifer_Walters_(Earth-616)
00374,Phoenix Force,/wiki/Jennifer_Walters_(Earth-616)
00375,Avengers (Earth-616)/Members,/wiki/T%27Challa_(Earth-616)
00376,Ultimates (Earth-616)/Members,/wiki/T%27Challa_(Earth-616)
00377,Illuminati (Earth-616)/Members,/wiki/T%27Challa_(Earth-616)
00378,Fantastic Four (Earth-616)/Members,/wiki/T%27Challa_(Earth-616)
00379,Defenders (Earth-616)/Members,/wiki/T%27Challa_(Earth-616)
00380,Secret Avengers (Civil War) (Earth-616)/Members,/wiki/T%27Challa_(Earth-616)
00381,Mutates,/wiki/T%27Challa_(Earth-616)
00382,Stan Lee/Creator,/wiki/T%27Challa_(Earth-616)
00383,Jack Kirby/Creator,/wiki/T%27Challa_(Earth-616)
00384,Superhuman Smelling,/wiki/T%27Challa_(Earth-616)
